CMPD_CHEMBLID,MOLWEIGHT,mol,VALUE,ty,label,,
CHEMBL481084,272.35001,O=C(N)c1c2nc(C(C)(C)N3CCCC3)[nH]c2ccc1,0.89999998,EC50,1,,
CHEMBL3961474,467.54999,Fc1c(C(=O)N2CCN(C(=O)N3CCCC3)CC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,0.89999998,KI,1,,
CHEMBL3892324,441.51001,Fc1c(C(=O)N2CCN(C(=O)N(C)C)CC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,0.89999998,KI,1,,
CHEMBL3950574,511.57999,S(=O)(=O)(N1CCN(C(=O)c2c(F)ccc(Cc3nnc(O)c4c3NCCC4)c2)CC1)c1ccccc1,0.89999998,KI,1,,
CHEMBL565882,304.31,O=C(N)c1c2nc(-c3ccc(-c4ocnc4)cc3)[nH]c2ccc1,0.99000001,EC50,1,,
CHEMBL596354,360.42001,O=C(CCn1c2c(nc1)cccc2)N1C2c3c(C(=O)NC2)cccc3CC1,1,IC50,1,,
CHEMBL595018,307.35001,O=C(Cc1cnccc1)N1C2c3c(C(=O)NC2)cccc3CC1,1,IC50,1,,
CHEMBL593364,271.32001,O=C(N1C2c3c(C(=O)NC2)cccc3CC1)C1CNC1,1,IC50,1,,
CHEMBL593363,285.35001,O=C(N1C2c3c(C(=O)NC2)cccc3CC1)C1CNCC1,1,IC50,1,,
CHEMBL589834,477.37,Clc1c(Cl)cc2C(=O)NC=C(Cc3cc(C(=O)N4CCC(N5CCC5)CC4)c(F)cc3)n12,1,IC50,1,,
CHEMBL603135,551.40997,Clc1c(Cl)cc2C(=O)NC=C(Cc3cc(C(=O)N4CCN(c5nc6c(cn5)cccc6)CC4)c(F)cc3)n12,1,IC50,1,,
CHEMBL3740104,450.5,O=C(N1CCN(c2c(C#N)cccn2)CC1)c1cc(CC2=NNC(=O)c3c2cccc3)ccc1,1,IC50,1,,
CHEMBL598543,507.39001,Clc1c(Cl)cc2C(=O)NC=C(Cc3cc(C(=O)N4CCN(C(=O)C(C)(C)C)CC4)c(F)cc3)n12,1,IC50,1,,
CHEMBL604291,402.85999,Clc1cn2C(Cc3cc(C(=O)N4CCNCCC4)c(F)cc3)=CNC(=O)c2c1,1,IC50,1,,
CHEMBL190434,439.54001,S(=O)(=O)(NCCCN1CCOCC1)c1cc2c(-c3nc(O)c4c(c3C2)cccc4)cc1,1,IC50,1,,
CHEMBL3901209,367.20999,Clc1c(Cl)ccc(-c2c(OCCN)c3c(c(O)n2)cc(F)cc3)c1,1,IC50,1,,
CHEMBL460474,326.44,O=C(N)c1c2nc(C3CCN(C4CCCC4)CCC3)[nH]c2ccc1,1,EC50,1,,
CHEMBL2058928,449.48999,Fc1c(C(=O)N2CCN(c3ncccn3)CC2)cc(CC2=NNC(=O)C3=C2NCCC3)cc1,1,EC50,1,,
CHEMBL498007,258.32001,O=C(N)c1c2nc(C3(C)CN(C)CC3)[nH]c2ccc1,1,EC50,1,,
CHEMBL3971924,509.97,Clc1ncc(C(=O)N2CCN(C(=O)c3c(F)ccc(Cc4nnc(O)c5c4CCCC5)c3)CC2)cc1,1,KI,1,,
CHEMBL3907393,510.95999,Clc1c(C(=O)N2CCN(C(=O)c3c(F)ccc(Cc4nnc(O)c5c4NCCC5)c3)CC2)cccn1,1,KI,1,,
CHEMBL3902883,465.5,Fc1c(C(=O)N2CCN(c3c(F)cccc3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,1,KI,1,,
CHEMBL3932477,352.44,O=C(N1CCNCC1)c1cc(Cc2nnc(O)c3c2CCCC3)ccc1,1,KI,1,,
CHEMBL3937699,454.54999,Fc1c(C(=O)N2CCN(C(=O)C(C)(C)C)CC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,1,KI,1,,
CHEMBL3935115,490.54001,Fc1c(C(=O)N2CCC(NC(=O)c3ccncc3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,1,KI,1,,
CHEMBL3922304,512.53003,Fc1c(C(O)=NCCN(C(=O)c2c(F)ccc(Cc3nnc(O)c4c3CCCC4)c2)CC)c(F)ccc1,1,KI,1,,
CHEMBL3986557,381.41,Fc1c(N2C(=O)C(C)=C(C)C2=O)cc(Cc2nnc(O)c3c2CCCC3)cc1,1,KI,1,,
CHEMBL3764920,426.5,Fc1ccc([C@@H]2[C@@H](c3ccc(CN4CCC4)cc3)Nc3c4c(C(=O)NN=C24)ccc3)cc1,1.1,IC50,1,,
CHEMBL3942040,280.32999,OC1=NN=C2c3c4c([nH]c3[C@@]3(C)N(C2)CCC3)cccc14,1.1,IC50,1,,
CHEMBL3902104,427.51999,Fc1c(C(O)=NCCN2CCN(C)CC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,1.1,KI,1,,
CHEMBL3954024,476.51001,Fc1c(C(=O)N2CCN(C(=O)c3ncccc3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,1.1,KI,1,,
CHEMBL3976224,514.56,Fc1c(C(=O)N2CCN(C(=O)c3cc4[nH]cnc4cc3)CC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,1.1,KI,1,,
CHEMBL3898776,505.54999,Fc1c(C(=O)N2CCN(C(=O)c3ccc(OC)cc3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,1.1,KI,1,,
CHEMBL3928801,526.96002,Clc1c(O)cc(C(=O)N2CCN(C(=O)c3c(F)ccc(Cc4nnc(O)c5c4NCCC5)c3)CC2)cn1,1.1,KI,1,,
CHEMBL3904253,477.54001,Fc1c(C(=O)N2CCN(c3ccc(OC)cc3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,1.1,KI,1,,
CHEMBL3980444,462.54999,S(=O)(=O)(CC)N1CCN(C(=O)c2c(F)ccc(Cc3nnc(O)c4c3CCCC4)c2)CC1,1.1,KI,1,,
CHEMBL3926924,470.54999,Fc1c(C(=O)N2CCN(C(=O)N(CC)CC)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,1.1,KI,1,,
CHEMBL3971025,384.45001,Fc1c(C(=O)N2CCNCCC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,1.1,KI,1,,
